Date,PIB_Croissance,Inflation,Taux_Directeur,Taux_Change,Chomage,Balance_Commerciale,Reserves_Change,Prod_Industrielle,Confiance_Menages,MASI_Indice,MASI_Rendement,Volume_Echange,Volatilite,Capitalisation,Societes_Cotees,PER,Div_Yield,Sect_Bancaire,Sect_Telecoms,Sect_Industrie,Sect_Immobilier
2010-12-01,3.11,1.95,2.57,8.98,9.4,-14.53,25.44,103.13,109.5,10736.63,-0.96,574.75,24.86,432.46,73,20.52,3.66,96.65,97.27,86.65,92.19
2011-01-01,3.73,1.63,2.76,9.38,10.11,-14.36,26.63,98.42,101.85,10662.44,-0.69,707.54,16.02,386.54,75,17.74,3.28,92.39,97.83,100.98,85.85
2011-02-01,2.06,0.9,2.66,9.11,9.07,-11.59,25.66,101.13,113.31,10839.28,1.66,865.2,16.18,458.79,74,18.13,3.11,93.84,94.75,97.6,104.03
2011-03-01,2.25,1.61,2.89,9.14,10.44,-14.86,26.72,106.04,102.9,10811.41,-0.26,700.75,20.9,538.02,73,15.17,3.27,98.45,108.51,104.98,112.6
2011-04-01,3.19,1.72,2.3,8.92,10.16,-14.07,25.55,103.02,91.23,10773.21,-0.35,532.36,16.91,490.3,73,19.28,3.4,99.7,99.7,105.39,106.43
2011-05-01,2.82,1.08,2.63,8.9,10.04,-13.44,25.83,109.61,103.99,10652.29,-1.12,650.43,21.19,467.3,76,19.41,3.27,96.52,103.46,97.28,101.76
2011-06-01,3.84,1.61,2.49,8.92,10.37,-14.35,22.76,103.78,102.49,10738.18,0.81,549.87,22.11,461.11,76,18.16,2.79,92.48,98.0,97.39,96.01
2011-07-01,2.82,1.56,2.89,9.17,10.68,-15.7,27.18,103.06,107.5,11069.9,3.09,621.74,16.74,470.79,74,20.55,3.72,99.37,90.58,101.74,91.09
2011-08-01,2.37,0.96,2.29,8.93,10.32,-14.51,26.37,101.45,104.87,10932.12,-1.24,562.87,22.07,487.64,76,17.65,3.83,104.64,103.21,96.38,110.47
2011-09-01,4.64,1.71,2.28,9.14,8.87,-12.81,27.39,102.75,101.14,10958.1,0.24,630.85,16.9,436.92,78,19.46,3.64,108.11,90.2,108.69,111.37
2011-10-01,3.28,1.82,2.32,9.68,9.13,-17.02,21.59,101.98,95.85,11192.28,2.14,693.96,18.21,506.89,78,16.31,3.1,99.06,101.35,100.35,86.89
2011-11-01,3.53,2.08,2.01,9.32,9.46,-14.65,29.12,104.78,100.85,11202.68,0.09,550.89,18.0,496.04,74,18.32,3.38,100.38,93.63,82.72,118.36
2011-12-01,2.38,2.07,2.33,8.97,9.8,-16.23,25.82,105.86,97.38,11292.88,0.81,603.08,23.23,497.24,74,18.04,3.43,96.44,113.85,100.59,108.31
2012-01-01,3.14,0.85,2.28,9.43,10.06,-12.33,27.73,101.03,98.38,11155.87,-1.21,625.41,15.66,489.97,74,18.85,3.61,103.77,107.48,96.08,116.68
2012-02-01,3.71,1.07,2.46,8.95,9.46,-17.65,24.56,99.78,103.89,11242.46,0.78,603.48,17.33,478.52,76,17.68,3.63,97.4,102.73,92.07,89.37
2012-03-01,2.74,1.8,2.5,8.46,9.92,-15.65,27.08,98.57,109.08,11236.73,-0.05,557.49,18.52,499.24,77,18.17,3.21,108.94,109.76,94.97,89.25
2012-04-01,3.98,1.8,2.8,8.77,9.45,-13.74,24.63,105.79,102.68,11406.94,1.51,629.84,19.61,497.92,74,20.1,3.45,90.24,97.18,104.54,101.53
2012-05-01,3.18,1.8,2.61,8.52,9.5,-11.39,25.32,101.01,94.93,11607.39,1.76,721.18,19.42,470.66,74,17.6,3.56,101.82,105.61,113.21,108.16
2012-06-01,3.39,3.47,2.3,8.98,9.07,-14.72,29.17,97.8,103.5,12018.17,3.54,626.75,17.2,465.19,75,15.27,3.86,107.27,103.63,106.24,121.2
2012-07-01,3.09,1.84,2.24,9.09,9.28,-15.79,26.05,105.31,107.73,12127.47,0.91,576.82,16.52,486.58,76,22.0,3.63,106.5,104.1,99.94,110.41
2012-08-01,5.01,2.12,2.51,9.59,9.04,-11.01,26.71,111.52,99.14,12198.68,0.59,607.51,16.63,531.11,74,21.28,3.65,126.74,110.23,107.52,101.04
2012-09-01,3.49,2.03,2.15,9.19,9.2,-17.72,27.74,104.0,101.84,12250.19,0.42,846.33,20.11,448.58,75,15.95,3.44,108.16,107.08,101.26,93.31
2012-10-01,2.65,1.88,2.77,9.03,10.2,-19.23,27.22,106.63,102.71,12219.56,-0.25,670.74,16.11,442.85,78,19.93,3.83,97.5,104.5,99.75,115.99
2012-11-01,4.17,1.4,2.64,9.34,9.2,-13.9,26.75,104.59,98.62,12292.68,0.6,682.48,16.01,492.93,74,17.56,3.53,104.93,92.92,96.67,94.15
2012-12-01,2.58,1.94,2.31,8.43,11.0,-15.69,27.11,104.39,105.52,12270.71,-0.18,607.16,24.56,490.63,74,19.11,3.14,91.66,97.17,92.63,120.2
2013-01-01,3.78,1.17,2.06,9.17,9.95,-16.62,30.21,107.84,101.32,12318.33,0.39,658.15,15.22,495.42,76,19.19,3.82,105.39,102.28,102.3,101.18
2013-02-01,2.09,1.44,2.67,9.33,9.81,-13.05,26.57,104.59,103.69,12538.31,1.79,598.75,34.28,498.66,77,18.15,3.61,99.54,103.66,106.27,120.04
2013-03-01,2.64,1.32,2.37,8.66,9.3,-13.9,27.0,106.57,96.95,12409.68,-1.03,685.29,18.9,485.76,75,17.07,3.26,113.69,96.4,104.63,111.04
2013-04-01,3.87,1.61,2.64,9.45,10.07,-15.49,28.32,106.91,99.2,12603.01,1.56,841.04,21.07,538.27,79,17.27,3.25,102.14,117.74,102.54,102.99
2013-05-01,4.28,2.72,2.07,9.21,9.42,-16.95,28.45,103.98,105.21,12822.92,1.74,696.76,16.92,446.67,75,16.84,3.48,105.77,112.45,98.97,99.28
2013-06-01,3.79,0.64,2.27,8.99,9.74,-12.72,28.61,108.9,100.11,12827.56,0.04,776.35,15.06,470.96,79,17.02,3.52,101.79,107.05,109.98,101.17
2013-07-01,3.51,1.91,2.38,9.31,10.92,-13.25,27.84,105.28,111.08,12531.62,-2.31,745.26,20.17,493.83,78,18.57,3.44,120.95,103.95,96.65,108.98
2013-08-01,3.32,0.77,2.39,9.8,9.56,-14.84,25.21,103.44,100.89,12462.8,-0.55,595.9,20.66,448.75,78,17.29,3.47,104.64,102.33,111.44,105.58
2013-09-01,2.35,1.34,2.29,9.18,10.16,-11.0,29.42,107.29,104.32,12679.69,1.74,841.29,19.92,493.89,79,20.1,3.89,122.03,97.98,99.13,98.98
2013-10-01,2.95,2.12,2.5,9.2,9.22,-16.84,25.29,103.09,107.97,12698.61,0.15,585.28,15.54,550.12,77,21.73,3.7,114.06,104.24,101.02,103.37
2013-11-01,3.18,1.61,2.16,8.99,9.56,-17.7,27.51,106.11,96.11,12571.06,-1.0,673.53,19.7,502.02,75,17.61,3.43,111.57,105.4,96.16,105.93
2013-12-01,4.44,1.04,2.34,8.88,10.47,-15.93,25.97,106.35,94.12,12517.69,-0.42,602.59,19.61,509.43,75,19.27,3.65,110.83,96.49,103.05,83.96
2014-01-01,3.92,1.22,2.39,9.38,9.29,-14.53,27.05,110.03,94.94,12666.13,1.19,605.34,18.82,465.83,78,19.8,3.06,111.2,106.03,113.53,109.94
2014-02-01,2.29,1.92,2.47,8.88,10.53,-13.84,27.68,108.58,108.56,12770.49,0.82,653.42,19.77,486.26,79,19.77,3.48,92.79,103.17,110.45,95.68
2014-03-01,3.99,1.22,2.5,9.16,9.98,-14.74,27.72,107.37,99.29,12756.99,-0.11,620.87,20.66,494.61,75,18.99,3.9,106.15,92.74,113.83,94.05
2014-04-01,3.43,1.69,2.13,9.0,9.34,-13.53,27.91,110.07,114.85,12724.32,-0.26,657.15,17.98,497.45,75,20.34,3.29,115.31,99.11,110.78,88.82
2014-05-01,3.18,1.61,2.05,9.29,9.92,-16.77,29.74,111.82,99.46,12687.9,-0.29,678.96,15.42,546.55,77,19.84,3.1,108.32,101.88,99.54,87.87
2014-06-01,4.17,1.26,2.61,9.25,10.06,-11.45,28.05,109.26,103.6,12571.88,-0.91,611.59,17.46,525.95,76,16.41,3.16,97.64,115.77,105.09,92.37
2014-07-01,4.46,2.66,2.42,9.46,9.85,-14.59,27.05,107.49,110.85,12836.54,2.11,645.73,16.3,476.99,79,20.64,3.02,108.63,107.86,102.08,98.94
2014-08-01,4.34,1.91,2.2,9.0,8.72,-12.28,28.9,103.43,113.61,12810.53,-0.2,678.02,16.67,518.85,79,20.7,3.11,122.85,96.6,117.0,125.68
2014-09-01,2.89,0.58,2.65,9.08,9.12,-13.88,29.29,104.16,114.18,13015.45,1.6,667.88,17.37,527.52,77,17.41,3.23,119.36,107.61,99.44,101.0
2014-10-01,3.31,1.69,2.36,8.87,9.35,-13.65,25.71,106.55,110.02,13266.0,1.92,764.66,16.17,547.89,76,19.03,2.92,109.06,95.49,114.22,108.15
2014-11-01,3.85,1.27,2.57,9.03,9.44,-13.37,28.49,105.89,108.98,13438.09,1.3,728.79,16.94,562.22,78,20.34,3.34,117.33,111.36,114.35,110.49
2014-12-01,4.41,2.03,2.35,9.28,9.8,-13.51,28.69,107.51,106.53,13395.69,-0.32,792.02,15.51,485.47,78,18.57,3.61,106.96,102.12,121.05,107.9
2015-01-01,3.3,1.2,2.74,9.39,9.59,-13.01,27.24,108.64,107.1,13478.6,0.62,730.86,20.26,492.71,79,21.15,3.06,96.42,104.47,105.51,105.93
2015-02-01,3.59,1.54,2.68,8.89,8.85,-11.53,29.79,110.43,100.14,13497.32,0.14,661.21,23.92,480.43,78,23.75,3.79,102.83,113.07,113.51,94.86
2015-03-01,2.88,1.86,2.28,9.43,9.72,-13.73,27.55,108.92,98.62,13384.11,-0.84,732.45,15.64,512.25,77,17.47,3.48,122.89,97.47,124.63,121.44
2015-04-01,2.82,2.04,2.52,9.58,9.83,-12.68,28.0,110.75,102.72,13455.11,0.53,648.41,24.58,534.38,76,16.29,3.63,108.37,96.9,104.48,125.11
2015-05-01,4.4,1.01,2.45,9.3,9.78,-14.31,27.6,109.51,102.12,13300.6,-1.15,666.8,17.79,551.13,77,19.68,3.12,108.78,101.86,98.19,90.32
2015-06-01,4.8,1.44,2.59,9.74,10.01,-11.33,27.93,103.32,101.1,13501.1,1.51,794.67,16.82,520.35,80,20.53,3.57,108.5,111.68,95.92,97.02
2015-07-01,3.61,1.37,2.12,8.95,9.85,-15.65,26.31,106.3,107.32,13453.75,-0.35,676.76,15.42,514.15,79,18.64,2.99,126.29,96.41,114.21,104.58
2015-08-01,4.42,1.29,2.45,8.81,9.64,-10.78,25.83,108.6,109.05,13506.27,0.39,780.24,17.28,529.41,78,22.03,3.58,124.24,88.62,96.18,97.84
2015-09-01,3.88,2.5,2.52,8.66,9.35,-14.51,30.43,105.39,105.0,13571.11,0.48,796.4,19.99,500.92,80,16.46,3.36,129.15,102.99,106.89,112.66
2015-10-01,3.08,1.82,1.96,9.64,8.54,-17.29,26.81,110.95,112.03,13554.62,-0.12,812.96,18.74,589.78,78,20.54,3.47,110.29,109.09,112.7,100.43
2015-11-01,3.91,0.99,2.07,9.39,9.59,-14.11,26.64,114.0,98.8,13664.97,0.81,882.05,15.56,479.98,76,17.96,2.95,114.1,113.07,111.07,129.47
2015-12-01,4.9,2.08,1.89,9.18,9.49,-15.63,24.94,113.42,103.25,13616.08,-0.36,682.53,15.41,534.87,76,22.63,3.03,99.77,103.17,112.89,119.84
2016-01-01,3.69,2.68,2.25,9.29,9.54,-12.47,27.26,109.52,100.27,13769.12,1.12,681.55,17.11,591.16,77,23.19,3.48,123.88,103.56,111.61,110.17
2016-02-01,5.02,2.14,2.44,8.87,8.78,-15.36,26.28,115.0,94.21,13589.57,-1.3,735.7,16.7,531.77,79,17.69,3.01,102.89,113.04,119.15,118.43
2016-03-01,1.71,0.86,2.59,9.94,8.89,-14.87,30.77,111.26,102.96,13630.88,0.3,676.49,15.95,526.98,81,18.14,3.43,114.14,94.98,103.67,119.33
2016-04-01,4.46,1.38,2.31,9.25,9.95,-17.75,29.87,109.95,102.8,13944.06,2.3,763.55,17.14,523.08,77,20.98,2.88,103.79,103.95,105.74,102.74
2016-05-01,3.86,2.26,2.61,9.25,9.38,-14.91,27.36,109.14,111.23,13816.36,-0.92,767.97,20.34,529.5,81,18.5,3.54,108.03,107.51,105.21,100.33
2016-06-01,3.51,1.28,2.01,9.43,9.71,-18.93,31.82,109.99,107.22,13737.04,-0.57,757.14,23.23,577.22,79,19.2,2.92,106.21,109.15,116.57,109.38
2016-07-01,3.77,1.85,1.94,9.36,9.35,-17.34,29.96,109.62,99.42,13836.48,0.72,692.13,16.92,470.79,81,19.36,3.45,108.21,103.48,117.2,117.33
2016-08-01,2.06,2.02,2.27,9.29,9.32,-12.73,28.04,111.2,114.23,13885.76,0.36,657.78,22.28,584.27,79,15.48,3.47,108.93,106.83,114.19,110.22
2016-09-01,3.45,1.17,2.35,8.99,9.75,-12.73,24.83,111.18,111.34,13960.7,0.54,701.18,16.43,496.67,79,19.31,3.07,109.02,91.77,119.46,93.17
2016-10-01,3.91,1.61,2.27,9.37,9.01,-13.44,32.06,110.84,108.21,14056.43,0.69,664.85,17.28,532.5,80,17.98,3.45,120.24,102.84,103.07,101.02
2016-11-01,4.84,0.02,1.86,9.79,9.32,-16.16,26.58,112.4,104.03,14173.98,0.84,874.97,16.19,528.74,79,18.39,3.35,104.9,109.59,123.12,108.42
2016-12-01,3.29,1.13,2.25,9.64,9.06,-14.22,26.24,115.03,100.06,14362.78,1.33,708.19,18.73,560.39,79,22.28,3.11,115.67,101.06,122.25,108.52
2017-01-01,3.11,1.51,2.0,9.71,9.09,-14.02,30.29,114.7,102.64,14446.6,0.58,669.23,26.88,495.91,78,16.89,2.96,123.82,107.39,116.88,129.11
2017-02-01,3.41,1.02,2.4,9.08,9.17,-16.23,32.46,107.77,109.63,14432.76,-0.1,646.95,17.82,558.84,77,21.05,2.67,110.14,109.8,124.34,95.64
2017-03-01,4.57,2.46,2.33,8.94,9.44,-10.84,30.92,104.83,113.46,14555.99,0.85,765.01,16.76,606.82,80,18.88,3.36,108.67,105.15,100.41,114.66
2017-04-01,4.1,0.93,2.07,9.21,9.08,-12.08,29.73,115.44,111.8,14863.32,2.11,789.35,19.19,506.31,80,18.9,2.79,112.74,108.31,108.48,124.61
2017-05-01,3.39,1.43,2.15,9.26,9.93,-14.32,29.83,108.54,101.9,14865.77,0.02,689.46,15.4,554.02,80,21.06,3.28,124.19,101.6,107.14,132.55
2017-06-01,4.19,1.71,2.04,9.58,8.82,-13.9,30.26,111.89,99.17,14741.94,-0.83,673.26,22.0,529.58,78,20.17,3.17,116.47,106.22,117.48,105.9
2017-07-01,3.8,2.37,2.24,8.74,9.14,-13.63,30.16,108.93,105.94,14930.35,1.28,729.1,17.74,563.34,80,20.65,3.45,110.83,111.2,105.22,114.97
2017-08-01,4.46,0.93,2.44,9.71,8.98,-18.21,29.49,106.95,96.81,14934.63,0.03,690.37,16.8,552.25,78,21.46,3.16,119.12,108.57,118.01,115.87
2017-09-01,3.1,2.24,2.05,9.21,9.9,-14.66,29.27,113.99,107.53,14631.08,-2.03,807.89,18.66,533.55,82,18.88,3.14,106.6,104.19,122.44,112.23
2017-10-01,3.4,1.66,2.34,9.13,9.27,-15.52,29.06,114.78,105.23,14780.54,1.02,769.38,18.45,568.55,80,18.33,3.46,121.04,109.14,117.86,109.4
2017-11-01,3.38,1.17,2.13,8.96,9.69,-16.09,28.07,111.05,103.48,14722.59,-0.39,710.73,15.42,609.16,79,17.41,3.34,119.02,112.16,115.11,114.86
2017-12-01,2.57,1.89,2.08,8.77,8.45,-14.55,28.82,105.37,97.53,14731.35,0.06,684.99,18.47,550.42,80,17.94,3.33,113.46,95.66,106.35,85.29
2018-01-01,4.03,1.76,2.21,9.52,9.34,-10.28,26.75,111.91,107.71,14803.5,0.49,1113.27,16.08,578.86,80,25.51,3.37,109.38,115.0,107.48,117.55
2018-02-01,4.05,1.36,2.02,9.29,9.67,-12.49,29.19,115.08,102.18,14854.42,0.34,729.96,18.93,519.58,79,22.12,2.77,109.16,106.11,122.29,112.1
2018-03-01,3.88,1.7,2.12,8.89,9.27,-14.85,27.9,109.74,98.85,14983.18,0.87,798.15,20.62,530.8,81,16.94,3.45,120.7,110.77,119.14,108.72
2018-04-01,3.68,1.47,1.98,8.89,9.75,-12.56,27.77,114.86,90.4,14940.21,-0.29,686.81,20.03,574.79,81,17.01,3.41,126.42,115.48,113.55,131.53
2018-05-01,2.72,1.72,2.61,9.18,8.94,-10.95,29.74,114.26,104.9,15039.52,0.66,747.37,17.74,606.26,78,20.64,2.92,111.66,100.15,111.04,104.42
2018-06-01,3.47,2.0,2.22,9.78,9.87,-11.98,31.6,115.96,114.32,15022.93,-0.11,674.27,17.26,573.52,78,20.79,3.14,120.59,104.21,99.93,107.25
2018-07-01,3.48,2.46,2.08,9.21,10.28,-13.8,30.94,114.46,114.24,15156.1,0.89,759.09,15.91,554.57,81,20.81,3.2,100.4,106.82,106.75,131.31
2018-08-01,3.07,1.05,2.26,8.84,8.92,-15.29,27.25,111.1,104.06,15270.75,0.76,1020.23,19.86,565.06,82,19.22,3.17,112.59,103.93,127.77,103.19
2018-09-01,3.56,2.74,2.19,9.22,8.86,-12.64,28.16,117.63,103.58,15152.78,-0.77,738.24,16.34,528.69,80,19.49,3.31,117.18,119.12,105.56,106.12
2018-10-01,4.02,0.7,2.16,9.21,9.8,-13.23,31.1,113.71,108.97,15338.03,1.22,704.41,17.67,585.45,82,20.42,3.64,110.32,103.66,115.99,110.26
2018-11-01,5.24,1.6,2.33,8.49,9.87,-12.16,28.26,114.39,101.47,15279.98,-0.38,688.37,16.19,594.91,80,19.95,3.53,110.27,105.55,121.86,120.25
2018-12-01,3.92,1.97,2.35,9.28,8.83,-12.58,29.45,112.04,107.65,15423.53,0.94,747.22,15.9,555.99,81,15.35,2.81,112.59,110.19,106.16,114.03
2019-01-01,4.04,1.82,2.09,9.23,8.9,-11.63,30.65,113.91,109.62,15500.97,0.5,708.49,18.23,556.57,79,19.35,3.38,120.44,101.84,116.38,99.14
2019-02-01,3.82,1.37,2.08,9.51,8.98,-14.7,28.42,112.94,111.63,15799.05,1.92,723.5,16.13,579.76,79,18.12,3.59,116.77,106.76,121.79,106.86
2019-03-01,2.37,1.58,2.14,9.86,8.45,-10.94,30.07,115.33,104.86,15787.87,-0.07,826.92,19.18,559.8,83,20.19,3.31,100.53,111.12,115.45,106.22
2019-04-01,3.88,1.44,1.73,9.65,8.66,-13.18,27.96,121.11,104.42,15757.82,-0.19,751.19,16.24,572.04,79,25.83,3.52,101.64,107.3,135.58,111.63
2019-05-01,3.93,1.39,1.88,9.23,8.59,-9.47,29.1,111.86,101.34,15777.26,0.12,724.32,15.06,638.13,82,20.61,3.79,113.92,108.83,103.96,116.77
2019-06-01,5.81,2.11,2.46,8.98,8.68,-15.08,30.53,111.04,102.02,15754.12,-0.15,922.66,17.22,568.85,83,19.27,3.49,122.6,106.29,123.19,116.81
2019-07-01,3.63,1.87,2.51,10.09,9.01,-10.32,27.71,120.17,105.5,15896.46,0.9,721.48,15.6,566.62,81,21.75,3.26,97.13,100.47,114.71,94.98
2019-08-01,3.99,1.35,2.13,9.34,9.12,-13.47,30.8,115.05,108.87,15676.36,-1.38,1032.6,16.66,559.07,79,20.89,3.49,115.28,111.57,121.46,123.49
2019-09-01,3.7,2.14,2.29,9.33,9.75,-15.2,30.15,113.7,111.83,15540.66,-0.87,749.41,19.12,601.93,80,20.78,3.22,115.23,120.25,119.29,115.49
2019-10-01,2.8,1.85,2.24,9.32,8.47,-14.85,31.06,118.99,103.27,15402.83,-0.89,933.11,15.64,575.29,79,21.17,3.18,130.72,109.91,111.21,126.92
2019-11-01,4.68,2.1,2.79,9.39,9.47,-14.45,30.61,114.34,114.57,15567.72,1.07,811.54,21.02,562.36,81,24.09,3.06,116.7,111.24,118.08,117.63
2019-12-01,4.42,2.01,2.39,9.29,8.89,-12.86,32.36,122.01,105.43,15846.66,1.79,910.55,15.91,622.6,83,17.73,3.64,123.01,114.13,103.61,124.31
2020-01-01,4.5,1.29,2.14,9.16,8.99,-12.54,30.55,118.97,106.32,15853.34,0.04,1115.56,15.87,626.67,81,20.96,2.92,121.24,102.44,120.98,118.07
2020-02-01,3.19,1.42,1.97,9.17,9.36,-14.64,29.76,115.82,102.41,15850.37,-0.02,737.19,19.06,567.18,80,18.18,3.62,103.23,120.35,118.99,126.98
2020-03-01,5.06,2.08,1.84,9.33,8.47,-13.49,30.64,124.0,93.91,15883.22,0.21,1033.38,16.24,530.32,82,21.16,3.31,126.59,111.44,121.51,118.85
2020-04-01,2.82,2.01,2.2,9.18,9.21,-9.15,31.31,115.83,110.54,16000.0,0.74,770.19,15.69,617.66,79,18.22,2.74,122.34,120.1,124.59,112.76
2020-05-01,4.38,1.7,2.0,9.13,9.08,-10.03,30.62,119.86,110.11,15963.09,-0.23,761.13,16.46,568.01,83,19.24,3.26,124.85,105.99,119.89,136.58
2020-06-01,5.62,1.77,1.87,9.38,9.21,-12.7,30.65,118.43,105.45,16000.0,0.23,755.73,16.06,613.38,82,19.5,2.52,152.36,121.38,118.49,122.86
2020-07-01,3.02,2.35,2.02,9.28,9.07,-13.59,29.58,121.32,107.66,16000.0,0.0,789.13,20.55,531.68,82,22.06,3.34,104.44,115.21,111.43,119.82
2020-08-01,3.32,1.42,1.93,9.81,10.12,-13.5,29.68,122.03,110.3,16000.0,0.0,729.59,16.13,618.68,84,21.97,3.41,135.08,113.96,112.75,101.43
2020-09-01,3.84,1.99,2.48,8.56,8.56,-12.54,28.62,117.48,100.13,16000.0,0.0,795.2,19.67,556.68,83,17.65,2.96,119.15,112.13,126.18,101.42
2020-10-01,3.36,1.62,2.32,9.69,8.61,-15.79,33.39,115.29,105.31,16000.0,0.0,794.23,21.67,616.06,84,20.27,3.18,123.92,109.32,128.07,117.34
2020-11-01,2.56,1.61,2.14,9.74,8.57,-14.19,28.94,119.23,111.73,16000.0,0.0,861.38,16.71,595.68,81,18.76,3.72,121.42,118.1,116.49,115.98
2020-12-01,3.91,2.27,2.43,8.74,8.62,-16.9,29.82,116.19,101.16,16000.0,0.0,898.92,22.22,567.75,81,17.68,2.98,118.56,111.82,118.62,108.5
2021-01-01,3.06,2.13,2.15,9.27,8.59,-12.65,29.82,124.66,108.54,16000.0,0.0,779.29,16.42,585.27,80,19.78,2.81,117.56,99.26,112.1,116.16
2021-02-01,4.33,2.13,1.96,9.26,9.52,-12.06,32.29,119.38,100.01,15923.49,-0.48,768.47,25.22,619.19,80,19.61,3.57,124.93,104.44,126.78,130.75
2021-03-01,3.24,2.38,2.43,8.95,9.64,-14.27,30.55,118.11,109.03,16000.0,0.48,764.21,15.52,602.9,81,25.1,3.71,110.32,110.11,123.37,121.93
2021-04-01,5.21,1.74,2.23,9.14,8.63,-10.16,32.91,119.87,106.63,16000.0,0.0,747.9,18.48,618.37,84,21.13,3.12,128.63,113.17,132.44,103.67
2021-05-01,3.31,2.07,1.91,9.05,8.47,-15.81,30.07,115.26,99.04,16000.0,0.0,733.87,17.04,661.25,81,17.52,3.42,119.46,111.06,112.85,114.08
2021-06-01,3.64,1.57,2.08,9.91,9.09,-16.37,31.54,116.28,113.38,16000.0,0.0,771.53,16.47,556.15,80,19.17,3.52,113.92,118.79,116.49,107.26
2021-07-01,4.5,1.89,1.94,9.67,8.55,-13.09,29.91,122.68,104.35,16000.0,0.0,762.79,18.0,652.71,81,22.36,2.89,119.53,99.86,120.89,111.54
2021-08-01,2.82,1.67,1.84,9.77,9.11,-11.51,34.43,117.04,104.36,16000.0,0.0,1072.34,18.65,608.44,81,24.51,2.97,133.35,112.51,123.94,111.39
2021-09-01,3.97,1.78,2.29,9.61,8.88,-10.27,29.48,115.92,109.62,16000.0,0.0,816.22,15.01,579.46,84,17.17,3.48,119.18,100.82,118.04,110.87
2021-10-01,4.85,2.03,2.49,9.06,8.01,-14.53,31.77,120.84,114.35,16000.0,0.0,778.97,15.55,567.63,83,16.6,3.61,126.5,116.37,113.58,103.2
2021-11-01,2.55,1.33,1.82,9.24,9.55,-11.37,32.3,123.09,103.33,16000.0,0.0,824.85,18.75,602.99,80,24.12,3.27,117.95,111.33,126.0,114.59
2021-12-01,4.04,2.79,2.21,9.55,9.69,-13.5,32.01,122.08,108.38,16000.0,0.0,754.65,18.29,637.43,84,21.18,2.84,130.03,114.5,125.02,110.37
2022-01-01,4.15,1.24,1.97,9.04,8.51,-13.65,31.16,123.3,109.86,16000.0,0.0,800.05,25.15,607.07,82,18.68,3.69,129.62,106.88,113.7,86.79
2022-02-01,4.61,1.14,2.0,9.62,8.63,-11.45,31.29,118.39,110.92,16000.0,0.0,841.43,19.29,657.35,82,21.5,2.94,139.09,119.83,129.74,136.73
2022-03-01,3.02,2.32,1.97,9.34,8.97,-11.87,31.59,116.62,108.24,16000.0,0.0,811.81,24.03,569.59,84,15.18,2.99,123.06,118.48,128.58,127.2
2022-04-01,2.95,2.14,1.92,9.3,8.98,-16.33,31.35,125.49,105.65,16000.0,0.0,797.75,18.64,613.88,81,20.47,3.19,129.99,115.82,121.47,112.66
2022-05-01,4.39,2.06,2.1,9.63,9.12,-10.28,33.06,119.99,103.67,16000.0,0.0,1257.15,16.06,577.79,81,21.14,3.55,125.59,111.63,121.23,116.72
